41	SARKUYSAN İŞ MERKEZİ	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	ŞİŞHANE	1990
42	OTEL NAZAR	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	LALELİ	1990
43	SOLAKOĞLU APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	FATİH	1990
44	TOZMETAL A.Ş. BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	GAYRETTEPE	1990
45	KURTKAYA HOLDİNG BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	EMİNÖNÜ	1990
46	KARAHAN APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	NİŞANTAŞI	1990
47	AZMİ ÖGER VİLLASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	KUMBURGAZ	1990
48	NARLIKAPI ERMENİ KİLİSESİ	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	SAMATYA	1990
49	TEB FINDIKLI ŞB.	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	FINDIKLI	1990
50	SARKUYSAN FABRİKA BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ÇAYIROVA	1990
51	A. LEVENT APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	MECİDİYEKÖY	1990
52	OCAK APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ETİLER	1990
53	BAŞER KARDEŞLER FABRİKA BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	AVCILAR	1990
54	ESEN APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	SELAMİÇEŞME	1990
55	PRF. DR. ERMAN TULGAR VİLLASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	SİLİVRİ	1990
56	JAK HAİM VİLLASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	LEVENT	1990
57	ZEKİ ALASYA VİLLASI	DIŞ, İÇ CEPHE ONARIM VE BOYA İŞLEMİ	LEVENT	1990
58	FATİH İŞ MERKEZİ	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	MECİDİYEKÖY	1990
59	HAKKI DEMİR İŞ HANI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	NİŞANTAŞI	1990
60	GÜNDOĞDU APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ERENKÖY	1990
61	ALBAYRAK İŞ MERKEZİ	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	MECİDİYEKÖY	1990
62	TÜRKİYE GAZETESİ HASTANESİ	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	OKMEYDANI	1991
63	HÜRRİYET GAZETESİ MERKEZİ	İÇ DEKORASYON İŞLEMİ	YENİKAPI	1991
64	YARDIM İŞ MERKEZİ	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	BAĞLARBAŞI	1991
65	AKBAŞOĞLU İŞ HANI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	KARAKÖY	1991
66	YENİ BELDEMİZ YAPI KOOP.	ÇATI ONARIM VE YALITIM İŞLEMİ	TARABYA	1991
67	DEVEKUŞU KABARE TİYATROSU	İÇ CEPHE ONARIM VE BOYA İŞLEMİ	TAKSİM	1991
68	SELİMOĞLU APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ERENKÖY	1991
69	YILMAZ TAŞKENT VİLLASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	İDEALTEPE	1991
70	ATATÜRK MÜZESİ BİNASI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	ŞİŞLİ	1991
71	ERMENEGİLDO ZEGNA BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	NİŞANTAŞI	1991
72	İZİ ŞERİTÇİOĞLU BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ETİLER	1991
73	SELİM UYAR BİNASI	TEMEL YALITIM İŞLEMİ	BEŞİKTAŞ	1991
74	BAĞDAT İŞ HANI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	NİŞANTAŞI	1991
75	BULVAR PALAS	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ERENKÖY	1991
76	KASTEL İŞ MRK. B BL.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	KASIMPAŞA	1991
77	DENGE DENETİM YMM. AŞ BİNASI	İÇ DEKORASYON İŞLEMİ	KASIMPAŞA	1991
78	GOETZE İSTANBUL SEGMAN BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	MASLAK	1991
79	AS APT.	DIŞ CEPHE KISMİ ONARIM VE BOYA İŞLEMİ	MODA	1991
80	MİLO KONAK	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	SELAMİÇEŞME	1991
81	ARSLANLI ÖRME SANAYİ AŞ. BİNASI	DIŞ CEPHE ONARIM, BOYA VE ÇATI YALITIM İŞLEMİ	TOPKAPI	1991
82	NUR SUNİ DERİ SANAYİ AŞ. BİNASI	ÇATI ONARIM VE YALITIM İŞLEMİ	KAĞITHANE	1991
83	HOTEL KYBELE	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	SULTANAHMET	1991
84	PALMİYE APT.	DIŞ CEPHE ONARIM, BOYA VE ÇATI YALITIM İŞLEMİ	BÜYÜKADA	1991
85	ZİYAPAŞA APT.	ÇATI ONARIM VE YALITIM İŞLEMİ	BÜYÜKADA	1991
86	ORHAN AYTEK İŞ MERKEZİ	TERAS YALITIM İŞLEMİ	TOPKAPI	1991
87	ORAN APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	SUADİYE	1991
88	MARKİZ İŞ HANI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ETİLER	1992
89	FEM DERSANESİ BİNASI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	TAKSİM	1992
90	ŞARK EKSPRES BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	CİHANGİR	1992
91	TİTİZ & SİSTEMA FABRİKA BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	KAĞITHANE	1992
92	GÜNAYDIN APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	GÜMÜŞSUYU	1992
93	HAKTAN HAN	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	KABATAŞ	1992
94	BAYER APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	NİŞANTAŞI	1992
95	TÜRKSAN SİT. 2. BL.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ETİLER	1992
96	POLİPLAST AŞ. BİNASI	ANAHTAR TESLİM FABRİKA İNŞAATI	HADIMKÖY	1992
97	UFUK APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	AKATLAR	1992
98	MİTHATPAŞA APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	GÜMÜŞSUYU	1992
99	KEMER APT.	DIŞ CEPHE KISMİ ONARIM VE BOYA İŞLEMİ	AKATLAR	1992
100	YEŞİLYURT SİT. 2. BL.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	YEŞİLYURT	1992
101	HOTEL NİZAPARK	DIŞ CEPHE ONARIM, BOYA VE ÇATI YALITIM İŞLEMİ	ESENTEPE	1992
102	IMP. HOLDİNG BİNASI	ÇATI ONARIM VE YALITIM İŞLEMİ	FINDIKLI	1992
103	100. YIL YÜZME HAVUZU	İÇ DEKORASYON İŞLEMİ	AFYON	1992
104	TOFAŞ BAŞAR NUHOĞLU BİNASI	DIŞ, İÇ CEPHE ONARIM VE BOYA İŞLEMİ	KÜÇÜKYALI	1992
105	ENGİN KONAK APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ULUS	1992
106	KANTA APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ORTAKÖY	1992
107	GARANTİ BANK. KAYSERİ BÖL. MÜD.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	KAYSERİ	1992
108	LEON COŞKUN BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	BURGAZADA	1993
